championship,teamA,teamB,scoreA,scoreB,time
كأس الاتحاد الإنجليزي,لوتون تاون,بولتون واندررز,-,-,16:00
كأس الاتحاد الإنجليزي,بيتربورو يونايتد,ليدز يونايتد,-,-,16:00
كأس الاتحاد الإنجليزي,نوتينجهام فورست,بلاكبول,-,-,16:00
كأس الاتحاد الإنجليزي,مانشستر سيتي,هدرسفيلد تاون,-,-,16:00
كأس الاتحاد الإنجليزي,شروزبري تاون,ريكسهام,-,-,16:00
كأس الاتحاد الإنجليزي,وست هام يونايتد,بريستول سيتي,-,-,16:00
كأس الاتحاد الإنجليزي,وست بروميتش,ألدرشوت تاون,-,-,16:00
كأس الاتحاد الإنجليزي,أرسنال,ليفربول,-,-,18:30
كأس فرنسا,يو إس ريفيل,ب. س. جيرمان,-,-,21:45
كأس ملك أسبانيا,بارباسترو,برشلونة,-,-,22:00
مباريات ودية - منتخبات,مصر - كرة يد,النرويج - كرة يد,-,-,15:00
مباريات ودية - منتخبات,المغرب,جامبيا,-,-,15:00
مباريات ودية - منتخبات,مصر,تنزانيا,-,-,18:00
الدوري الإيطالي,إمبولي,ميلان,-,-,13:30
الدوري الإيطالي,تورينو,نابولي,-,-,16:00
الدوري الإيطالي,أودينيزي,لاتسيو,-,-,16:00
الدوري الإيطالي,ساليرنيتانا,يوفنتوس,-,-,19:00
الدوري الإيطالي,روما,أتالانتا,-,-,21:45
الدوري المغربي,نهضة الزمامرة,نهضة بركان,-,-,17:00
الدوري المغربي,حسنية اغادير,الاتحاد التوركي,-,-,17:00
الدوري المغربي,المغرب التطواني,الوداد البيضاوي,-,-,19:00
الدوري المغربي,أولمبيك آسفي,المغرب الفاسي,-,-,21:00
الدوري التركي,قيصري سبور,سيفاسبور,-,-,12:30
الدوري التركي,إسطنبول سبور,فنربخشة,-,-,15:00
الدوري التركي,جالاتا سراي,قونيا سبور,-,-,18:00
الدوري البرتغالي,ريو آفي,بورتيمونينسي,-,-,20:00
الدوري البرتغالي,فاماليكاو,شافيش,-,-,22:30
